Alpha_KS,Persistence,DET1_FPR,DET2_FPR,DET1_AvgDelay,DET2_AvgDelay
0.01,10,0,1,13.5,19.0
0.001,10,0,1,13.5,19.0
0.0001,10,0,1,13.5,19.8
1e-05,10,0,1,13.5,20.2
1e-06,10,0,1,13.5,20.6
0.01,15,0,1,18.5,19.0
0.001,15,0,1,18.5,19.0
0.0001,15,0,1,18.5,19.8
1e-05,15,0,1,18.5,20.2
1e-06,15,0,1,18.5,20.6
0.01,20,0,1,19.0,19.0
0.001,20,0,1,19.0,19.0
0.0001,20,0,1,19.0,19.8
1e-05,20,0,1,19.0,20.2
1e-06,20,0,1,19.0,20.6
0.01,30,0,1,29.0,19.0
0.001,30,0,1,29.0,19.0
0.0001,30,0,1,29.0,19.8
1e-05,30,0,1,29.0,20.2
1e-06,30,0,1,29.0,20.6
0.01,5,1,1,8.5,19.0
0.001,5,1,1,8.5,19.0
0.0001,5,1,1,8.5,19.8
1e-05,5,1,1,8.5,20.2
1e-06,5,1,1,8.5,20.6
